,AAV_CBLN1_OE_1,AAV_CBLN1_OE_2,AAV_CBLN1_OE_3,AAV_CTL1,AAV_CTL2,AAV_CTL3
C1qa,641.758715,632.004976,894.008169,728.560176,291.339765,463.316588
Cox8a,641.531412,590.230584,675.850088,620.203942,596.532106,611.47371
Tagln2,584.331657,565.649651,561.448475,551.089778,816.418938,591.773945
Tmem176a,644.008314,656.75474,598.333369,602.584659,652.12674,541.066723
Prdx1,594.89037,634.104013,526.885763,648.485278,575.33351,734.796015
Gm8730,644.42305,569.508819,548.809952,530.677076,741.155008,672.037727
Esd,494.209708,435.810583,438.60015,518.752938,940.814822,821.281042
Ly6c1,397.55665,437.378518,527.148689,635.873167,502.501952,701.583092
Ecm1,600.198963,499.217916,623.820054,608.46672,731.395025,600.71848
Laptm4a,631.224619,571.572121,608.112043,664.246951,590.231085,582.765745
Pebp1,586.414621,549.27788,577.130711,600.570506,647.826802,638.781429
H2-Q7,624.432454,417.00497,750.64937,650.414642,431.796564,560.212965
Atp5g2,552.716562,584.495645,523.698245,614.233004,678.575235,618.815628
Eif3h,560.807851,564.773931,546.782151,573.675343,736.572528,636.377916
Manf,530.534631,765.736856,641.898926,606.630835,428.58883,686.439996
Elob,611.096917,550.594108,569.648086,626.865424,574.582279,585.772636
AW112010,509.20808,452.192168,727.278557,772.966366,294.838515,672.627971
Cd9,528.526803,506.312651,514.465043,607.020155,654.815555,661.423082
Ctss,612.542876,506.334356,827.868686,702.349915,267.67781,460.083084
Atp5md,579.574026,598.641201,524.750688,705.390544,443.22689,730.211521
Myh9,502.740355,562.268548,513.095493,514.642775,738.4362,560.475355
Cox6c,535.519616,626.277695,516.00713,633.45018,520.106845,639.32673
Svs4,20.016733,4552.137873,11.112897,5.358487,2.609741,0.157185
Hmgb1,614.111942,637.717785,541.931111,588.261991,517.954018,547.292467
Akr1a1,604.926727,589.497619,598.538954,576.690797,545.069934,542.417835
Gnb2,595.931273,569.360682,608.151126,580.976804,561.717604,506.092737
C1qb,585.802069,569.909664,804.700092,667.193785,260.571715,466.25342
Csrp1,592.865533,557.867869,605.04298,591.788237,596.905004,500.534562
Serpine2,396.961155,473.542819,387.73325,479.23798,754.890103,693.50251
Hnrnpa1,503.156265,513.329556,444.942687,585.976074,706.133521,591.460345
Cox6a1,591.289817,564.62281,596.553435,579.553241,470.752,546.107658
Hnrnpa2b1,552.823609,592.873448,592.13968,692.853969,370.970708,558.670921
Sh3bgrl3,571.538957,535.814259,657.975743,565.869166,454.150609,519.769464
mt-Nd3,889.554242,616.26929,824.601257,361.727223,277.568447,570.519437
Dcn,862.067997,664.360846,470.458425,628.618958,346.10509,400.745361
Psmb8,546.08828,451.656827,660.157542,630.899652,424.159391,492.745292
Bst2,470.247175,405.545867,586.375317,498.800929,458.584875,616.785126
Timp2,539.489429,500.379485,577.172701,585.624186,624.068512,459.401325
Igfbp7,662.51613,722.018356,772.233193,526.89386,365.519192,312.244808
Rbm3,622.047754,597.629049,447.751984,576.317801,599.384096,434.830837
Arpc2,541.357476,490.318788,541.689923,539.242545,594.687518,544.49782
Gm10925,270.89095,879.595649,633.10547,450.882065,411.21922,468.229768
Ywhae,542.899926,534.533212,511.159276,560.816504,532.624652,559.089039
Col6a2,482.280938,521.494799,703.077833,590.932305,528.091512,413.307813
Ctsd,491.593906,512.953508,633.072417,524.990445,521.715762,533.655996
Calu,524.191429,489.97799,464.204221,535.44853,602.744783,521.403437
Hint1,540.502044,505.014837,494.948421,556.516382,453.947361,605.381623
Gdi2,549.125215,517.799859,568.694856,541.002865,550.827296,447.238913
Ctnnb1,542.352306,548.291285,433.602309,554.650268,529.70514,560.315765
Itgb1,531.697933,472.804298,472.445752,514.770314,659.236253,508.248475
Hnrnpa3,529.527161,535.725734,459.39231,585.998145,504.316544,519.00482
Selenow,528.269,528.41923,542.827203,555.545514,441.158966,466.311163
Sparcl1,487.851086,558.593417,486.192392,556.331659,690.026016,377.378385
Gpx1,530.819438,527.569154,554.112082,555.943503,409.821479,480.596421
Sqstm1,459.543874,435.932628,418.117801,402.366166,705.0231,571.591326
Gstp1,539.972058,469.897169,484.982388,501.360905,519.572835,614.195381
Igkc,1237.391808,263.729627,1839.089468,318.135399,3.856632,11.665057
Nme2,520.268224,523.387141,538.771808,514.850245,419.928313,569.846278
Fmo2,517.919632,506.012768,371.926691,473.96947,692.462805,595.573535
Gpx4,512.798602,527.310557,481.463636,497.693679,491.334241,533.155008
Capns1,506.947579,474.490131,509.302349,501.249594,530.961173,463.145317
H2az1,554.776239,564.077972,471.797035,557.397549,374.409204,501.223737
Rac1,508.933328,490.815203,501.313128,518.617246,508.841445,472.698289
Gm10252,406.816887,437.916055,424.757702,474.648271,686.438189,614.171491
Ywhaz,453.238708,460.267572,401.069791,485.191328,580.023733,562.838606
Rps27l,489.465049,509.757267,474.365118,518.189441,407.725455,592.2453
Tm4sf1,512.489241,501.413234,347.695807,503.954019,589.640219,555.050212
Arf1,510.50161,491.649215,485.046469,466.107295,524.474892,478.928806
Mmp14,513.586045,498.297864,501.626115,480.142382,571.167124,373.613156
Cstb,460.411556,464.429153,416.308522,526.238609,527.181067,536.156097
Ctsz,516.164977,493.227835,545.941086,548.944763,391.078586,423.531668
Atp6v0c,469.702181,482.500667,527.950277,480.978788,440.645847,445.198035
Calm1,546.921427,498.085236,458.256837,516.19461,395.327761,463.581492
Lmna,426.361019,457.747957,427.540691,464.491431,506.493544,472.733111
Tgfbi,416.991538,382.541882,451.531918,456.310812,515.107685,439.835712
Dap,443.953581,451.97284,440.283164,433.228549,558.242202,451.640948
Anxa1,427.937148,416.221101,401.24682,524.693002,492.141254,519.866687
Tpm3,481.82203,471.352211,484.83906,485.418926,411.110518,454.355289
Lamp1,468.450732,447.608062,510.885566,466.909361,450.974999,460.241566
Gnb1,464.824358,429.3622,429.664453,416.591266,560.796787,463.392113
Tle5,494.98547,475.915744,464.880902,443.649725,451.929397,455.009946
H2-Q4,451.293372,369.240545,506.387177,503.059667,421.921857,425.827716
Tapbp,448.286464,415.221973,587.055611,489.102085,349.0677,361.566038
Atp5mpl,446.682944,483.450291,405.650798,489.115985,443.287426,481.924102
Serbp1,462.697161,455.697791,440.511117,475.82992,426.551163,457.640938
Ap2m1,476.996634,451.57429,488.631373,481.700223,395.835,420.724687
Nedd4,485.180319,474.648219,419.773506,462.041152,481.736377,422.982308
Atp5a1,463.636058,478.358311,455.957207,445.14769,471.325129,425.175007
Arhgdib,482.394821,404.006572,498.638288,518.166318,320.102713,405.807244
Cnn3,496.727725,456.659933,461.542466,485.048343,417.258521,408.493245
H2-T23,407.565168,316.045326,523.777387,483.718703,353.551654,402.321676
Hnrnpab,460.857042,467.582075,407.316622,449.857375,381.87873,452.046773
Hnrnpf,461.026615,425.989397,470.751227,458.310333,339.605522,431.623965
Eef1d,397.053222,440.880293,427.517048,433.957924,445.933066,459.560288
Aprt,433.006325,402.414781,399.516193,405.252019,461.755717,465.970607
Crip1,432.643452,434.101269,491.628143,555.317319,337.831916,352.047319
Cald1,442.974087,443.998462,357.198953,406.186759,489.440325,423.78829
Selenop,530.98663,511.295554,497.064121,514.241895,259.539292,327.835185
Pdia6,385.354468,500.402187,473.961143,460.227862,331.459039,438.49107
Chchd2,460.441529,476.09864,429.410257,432.73501,364.108875,467.882994
Grn,452.436462,430.373316,564.431533,459.837516,310.271165,335.874558
Capg,378.76794,394.726552,392.734388,401.309467,456.377953,423.508979
Cox7a2l,392.470204,416.459453,366.991316,393.739299,521.809577,486.757118
Prdx6,316.843198,581.326483,577.60263,315.783805,387.34413,354.679779
Cox7c,426.317696,376.060612,374.974136,441.826071,445.53972,515.191973
Prelid1,427.832701,381.868485,405.616975,420.833169,482.911125,416.062052
Id3,460.446794,507.635688,415.434036,456.599921,286.862855,329.924437
Dpt,452.504337,521.707411,424.415331,531.275381,319.23479,342.531177
Pfdn5,424.972987,403.667371,374.246753,392.824481,467.695335,427.151266
Atp5g3,451.059128,426.977147,432.275016,474.557231,343.189059,403.65407
Ube2d3,414.383373,407.953246,373.180317,419.04551,458.23757,420.621937
H1f0,380.691014,421.872104,268.959634,359.336871,759.042465,323.798653
Ctsc,421.619233,390.344636,475.380019,486.281601,311.2866,394.672214
Fstl1,442.625657,439.95517,424.016753,420.067785,459.202028,334.620081
Ddx5,444.674855,445.641722,372.860965,421.791571,414.825945,332.795534
Emp3,404.353731,369.18383,388.13923,422.623581,409.688192,437.248517
Hmga1,359.380365,266.96251,302.988226,262.075668,596.819932,537.961281
Cdc42,457.670732,401.1541,426.679669,453.135729,369.543069,397.10932
Eif3k,402.398554,396.665287,429.901989,405.149818,421.453804,445.266948
2410006H16Rik,415.503512,296.802566,332.591388,325.705242,590.879897,559.927444
Anxa5,400.482769,400.633961,414.676492,427.812266,389.58769,396.939739
Clic1,398.734598,370.655702,385.772917,409.387713,428.567238,436.331988
Atp5l,413.6749,428.562613,398.932848,427.431548,364.611764,423.960585
Col4a1,437.978249,460.672961,428.203501,401.121074,459.410855,297.204777
Clta,406.36655,415.265438,417.958362,408.67427,415.397811,410.72502
Ube2i,426.880014,404.443539,375.543237,403.329463,400.059538,418.639955
Ppp1ca,424.578002,418.116782,461.005904,445.427488,320.462766,394.806292
Clu,264.014659,850.449105,346.946823,273.682723,346.853413,360.794
App,409.722432,336.216023,485.444988,420.697596,360.444121,361.577976
Rtn4,395.980693,361.486018,388.77901,393.549035,452.355977,408.096876
Ccn2,523.217538,580.518303,343.974891,345.335183,527.190669,205.424754
Aldh2,413.362838,399.869855,375.909843,373.491566,466.191161,400.858552
Slc25a3,413.547666,404.326135,412.850016,397.105424,350.439572,405.373898
